host,threads,mode,rep,bandwidth_GBps
SP1-01.uhpc.unam.na,8,unpinned,8,56.331529
SP1-01.uhpc.unam.na,8,unpinned,9,55.708325
SP1-01.uhpc.unam.na,8,unpinned,10,56.310422
SP1-01.uhpc.unam.na,8,close,1,28.539388
SP1-01.uhpc.unam.na,8,close,2,28.665208
SP1-01.uhpc.unam.na,8,close,3,28.886449
SP1-01.uhpc.unam.na,8,close,4,28.719776
SP1-01.uhpc.unam.na,8,close,5,28.582592
SP1-01.uhpc.unam.na,8,close,6,28.536999
SP1-01.uhpc.unam.na,8,close,7,28.629068
SP1-01.uhpc.unam.na,8,close,8,28.462399
SP1-01.uhpc.unam.na,8,close,9,28.460938
SP1-01.uhpc.unam.na,8,close,10,28.688898
SP1-01.uhpc.unam.na,8,spread,1,55.631110
SP1-01.uhpc.unam.na,8,spread,2,55.606318
SP1-01.uhpc.unam.na,8,spread,3,56.901486
SP1-01.uhpc.unam.na,8,spread,4,55.624100
SP1-01.uhpc.unam.na,8,spread,5,55.954867
SP1-01.uhpc.unam.na,8,spread,6,57.077729
SP1-01.uhpc.unam.na,8,spread,7,56.707621
SP1-01.uhpc.unam.na,8,spread,8,57.529881
SP1-01.uhpc.unam.na,8,spread,9,56.118833
SP1-01.uhpc.unam.na,8,spread,10,55.211048
SP1-01.uhpc.unam.na,16,unpinned,1,57.170434
SP1-01.uhpc.unam.na,16,unpinned,2,56.644782
SP1-01.uhpc.unam.na,16,unpinned,3,56.617186
SP1-01.uhpc.unam.na,16,unpinned,4,57.393320
SP1-01.uhpc.unam.na,16,unpinned,5,56.553749
SP1-01.uhpc.unam.na,16,unpinned,6,56.515303
SP1-01.uhpc.unam.na,16,unpinned,7,56.992443
SP1-01.uhpc.unam.na,16,unpinned,8,56.838521
SP1-01.uhpc.unam.na,16,unpinned,9,57.231963
SP1-01.uhpc.unam.na,16,unpinned,10,56.855343
SP1-01.uhpc.unam.na,16,close,1,56.873011
SP1-01.uhpc.unam.na,16,close,2,56.976910
SP1-01.uhpc.unam.na,16,close,3,57.059760
SP1-01.uhpc.unam.na,16,close,4,56.842262
SP1-01.uhpc.unam.na,16,close,5,57.181413
SP1-01.uhpc.unam.na,16,close,6,56.832209
SP1-01.uhpc.unam.na,16,close,7,56.763320
SP1-01.uhpc.unam.na,16,close,8,57.070216
SP1-01.uhpc.unam.na,16,close,9,56.830580
SP1-01.uhpc.unam.na,16,close,10,57.484288
SP1-01.uhpc.unam.na,16,spread,1,56.802701
SP1-01.uhpc.unam.na,16,spread,2,56.911176
SP1-01.uhpc.unam.na,16,spread,3,56.875661
SP1-01.uhpc.unam.na,16,spread,4,56.240318
SP1-01.uhpc.unam.na,16,spread,5,56.780904
SP1-01.uhpc.unam.na,16,spread,6,56.638859
SP1-01.uhpc.unam.na,16,spread,7,57.031631
SP1-01.uhpc.unam.na,16,spread,8,56.875548
SP1-01.uhpc.unam.na,16,spread,9,56.798559
SP1-01.uhpc.unam.na,16,spread,10,57.329104
