** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
Warning: No xauth data; using fake authentication data for X11 forwarding.
 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60356   60356        0         65    195440639   0.003    60       16       3243    2836    3528    3680    5035      8730   229972     261
   1  2699999  60143   60143        0         27    207036792   0.003    60       16       3407    3191    3634    3767    4776      7178   100900     176
   2  2699999  60190   60190        0         21    190774370   0.003    60       16       3231    2797    3525    3671    4503      6279   122954     271
   3  2699999  60208   60208        0        172    196814752   0.003    60       16       3241    2817    3533    3685    4773      8213  1009852     267
   4  2699999  60215   60215        0         17    191935249   0.003    60       16       3248    2834    3536    3682    4558      6621    18222     262
   5  2699999  60217   60217        0         18    188126872   0.003    60       16       3182    2726    3497    3648    4424      6451    50136     294
   6  2699999  60756   60756        0        616    189754461   0.003    60       16       3177    2708    3496    3652    4682      6997    19012     297
   7  2699999  60249   60249        0         87    188466455   0.003    60       16       3187    2736    3493    3647    4536      7643    29783     285
   8  2699999  60275   60275        0         63    203184062   0.003    60       16       3396    3094    3643    3778    4575      6556    17995     212
   9  2699999  60250   60250        0         23    202610728   0.003    60       16       3394    3087    3642    3775    4517      6170    17865     213
  10  2699999  60245   60245        0         17    201865602   0.003    60       16       3386    3065    3635    3772    4435      6047    28333     217
  11  2699999  60238   60238        0         16    204290948   0.003    60       16       3417    3125    3660    3790    4536      5972    17776     206
  12  2699999  60238   60238        0         17    203349695   0.003    60       16       3404    3105    3651    3783    4494      6170    18798     210
  13  2699999  60631   60631        0       1022    203871943   0.003    60       16       3384    3041    3641    3777    5458      7874    18327     228
  14  2699999  60235   60235        0         17    196937245   0.003    60       16       3317    2928    3596    3735    4328      5860    17337     255
  15  2699999  60220   60220        0         20    199972597   0.003    60       16       3350    3003    3614    3748    4371      6043   473073     234
