trial,ns
0,554752881
1,457850152
2,457885036
3,457813337
4,457854739
5,457818163
6,457871954
7,457825630
8,457824628
9,457865245
10,457854577
11,457812044
12,457833166
13,457804936
14,457830124
15,457854225
16,457826702
17,457795151
18,457890372
19,457885953
20,457812314
21,457794343
22,457817725
23,457854309
24,457829148
25,457823840
26,457825934
27,457849406
28,457862178
29,457825327
30,457853909
31,457809177
32,457895420
33,457813179
34,457829161
35,457848706
36,457874917
37,457816543
38,457826622
39,457824081
40,457797351
41,457869620
42,457814313
43,457811440
44,457927564
45,462680374
46,457918533
47,457915331
48,457814418
49,457905924
50,457877989
51,457999460
52,458011920
53,457952021
54,457966817
55,457826200
56,457910459
57,458007084
58,458063411
59,458006232
