 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60338   60338        0       6060    254235569   0.004    60       16       3492    3270    3772    6685   12517     14235   126980     190
   1  2699999  60217   60217        0       6095    234223469   0.004    60       16       3391    3030    3700    4865   11831     13296   181282     251
   2  2699999  60239   60239        0       6139    235633514   0.004    60       16       3401    3051    3706    4993   11911     13278    90080     246
   3  2699999  60392   60392        0       6431    238344765   0.004    60       16       3411    3078    3713    5283   12020     13400    28411     238
   4  2699999  60409   60409        0       6493    241787357   0.004    60       16       3401    3053    3703    5218   12297     13586  1015901     245
   5  2699999  60240   60240        0       6126    239686722   0.004    60       16       3405    3060    3708    5067   12338     13520   312271     243
   6  2699999  60794   60794        0       6669    238670806   0.004    60       16       3381    3005    3705    4921   12311     13591    19238     265
   7  2699999  60266   60266        0       6095    223476211   0.004    60       16       3266    2776    3623    4471   12093     13328    90537     320
   8  2699999  60441   60441        0       6295    225405928   0.004    60       16       3243    2865    3578    4981   11638     13178    35027     273
   9  2699999  60438   60438        0       6215    228017055   0.004    60       16       3273    2918    3597    4940   11514     13083    33945     261
  10  2699999  60431   60431        0       6220    227781648   0.004    60       16       3288    2946    3611    4930   11464     13072    31617     255
  11  2699999  60415   60415        0       6212    227967873   0.004    60       16       3282    2940    3601    4872   11466     13024    60511     254
  12  2699999  60414   60414        0       6211    228454170   0.004    60       16       3283    2951    3600    4937   11639     13204    33025     248
  13  2699999  60398   60398        0       6190    226894709   0.004    60       16       3276    2938    3595    4893   11561     13146    38191     253
  14  2699999  60429   60429        0       6202    222044859   0.004    60       16       3206    2831    3552    4766   11545     13070    39447     278
  15  2699999  60445   60445        0       6229    223006398   0.004    60       16       3218    2855    3548    4821   11462     13000   442016     270
