trial,ns
0,458090344
1,457756291
2,457780998
3,457797428
4,457824590
5,457732003
6,457750792
7,457787869
8,457769216
9,457736379
10,457729597
11,457809012
12,457788868
13,457763229
14,457744207
15,457739980
16,457792729
17,457740556
18,457729149
19,457808362
20,459243978
21,457746650
22,457735190
23,457735347
24,457737374
25,457783670
26,457759965
27,457740264
28,457813382
29,457795052
30,457731257
31,457736305
32,457732556
33,457810676
34,457759359
35,457762952
36,457739035
37,457800920
38,457787119
39,457740075
40,457743612
41,457738929
42,457787826
43,457745016
44,457736845
45,457740025
46,457810636
47,457797333
48,457745319
49,457741761
50,457728070
51,457790550
52,457729541
53,457754875
54,457793889
55,457796152
56,457747260
57,457733395
58,457729221
59,457733136
