 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60337   60337        0        127    196526997   0.003    60       16       3243    2828    3528    3680    5056     12464   435349     262
   1  2699999  60167   60167        0         24    193520357   0.003    60       16       3264    2872    3543    3686    4477      6548   152768     254
   2  2699999  60169   60169        0         61    206441829   0.003    60       16       3403    3181    3632    3764    4806      7786   100647     178
   3  2699999  60194   60194        0         87    192680719   0.003    60       16       3253    2844    3536    3682    4509      7707   100783     257
   4  2699999  60205   60205        0         27    193403216   0.003    60       16       3264    2880    3542    3683    4458      6580    25077     250
   5  2699999  60213   60213        0         29    195034506   0.003    60       16       3186    2740    3498    3648    4351      6667  1017472     288
   6  2699999  60753   60753        0        618    190460802   0.003    60       16       3188    2736    3498    3655    4608      6901    20137     288
   7  2699999  60205   60205        0         20    186535940   0.003    60       16       3173    2693    3483    3632    4273      6363   100583     294
   8  2699999  60238   60238        0         18    200246719   0.003    60       16       3356    3014    3617    3757    4434      6243   117633     230
   9  2699999  60250   60250        0         63    204498731   0.003    60       16       3415    3135    3655    3791    4493      6413    18881     200
  10  2699999  60254   60254        0         86    202552219   0.003    60       16       3390    3078    3636    3771    4461      7278    59130     213
  11  2699999  60214   60214        0         17    202581468   0.003    60       16       3398    3092    3643    3776    4415      6021    16525     211
  12  2699999  60215   60215        0         17    202891416   0.003    60       16       3400    3100    3645    3780    4426      5927    18637     208
  13  2699999  60214   60214        0         17    201594135   0.003    60       16       3386    3060    3640    3773    4374      5797    18705     223
  14  2699999  60552   60552        0        863    199302234   0.003    60       16       3314    2926    3593    3737    4972      7739   460905     254
  15  2699999  60218   60218        0         22    199677607   0.003    60       16       3353    3007    3614    3752    4335      6024    15593     232
