trial,ns
0,515437370
1,457895802
2,457806752
3,457844950
4,457869372
5,457912409
6,457806363
7,457795789
8,457833327
9,457863905
10,459364621
11,457827864
12,457848807
13,457860753
14,457902029
15,457822596
16,457806272
17,457830871
18,457865296
19,457836363
20,457803749
21,457896637
22,457863779
23,457837436
24,457794022
25,457843948
26,457802967
27,457851278
28,457835164
29,457809233
30,457878896
31,457869970
32,457849536
33,457792697
34,457840537
35,457884330
36,457807926
37,457806890
38,457807062
39,457864940
40,457853935
41,457821367
42,457808607
43,457820703
44,457846843
45,457843001
46,457810829
47,457793141
48,457876656
49,457880676
50,457821721
51,457793305
52,457846124
53,457881618
54,457818595
55,457820966
56,457860810
57,457890497
58,457811939
59,457833195
