** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
Warning: No xauth data; using fake authentication data for X11 forwarding.
 CPU  TSC_khz  #intr  #delta  ovfl_ns  invol_ctx  sum_intr_ns  iratio  rt_s  loop_ns  median_ns  p20_ns  p80_ns  p90_ns  p99_ns  p99.9_ns   max_ns  mad_ns
   0  2699999  60586   60586        0       6179    234339000   0.004    60       16       3284    2830    3672    4962   12082     17084   611549     321
   1  2699999  60250   60250        0       6142    233057478   0.004    60       16       3318    2906    3696    4893   11671     13564  1713452     301
   2  2699999  60807   60807        0       6730    243091007   0.004    60       16       3318    2888    3707    4968   11777     13536  1607125     307
   3  2699999  60356   60356        0       6329    233163053   0.004    60       16       3320    2903    3697    5055   11671     13251  1833969     298
   4  2699999  60340   60340        0       6135    226750766   0.004    60       16       3297    2856    3680    4838   11951     13251    46472     310
   5  2699999  60265   60265        0       6076    245260770   0.004    60       16       3431    3174    3765    5468   12214     13322    90296     222
   6  2699999  60320   60320        0       6130    223719373   0.004    60       16       3250    2780    3642    4720   11982     13337   328751     331
   7  2699999  60641   60641        0       6992    229740402   0.004    60       16       3270    2817    3657    4988   11910     13412   893875     321
   8  2699999  60424   60424        0       6180    238329297   0.004    60       16       3422    3063    3776    5212   11538     13163   279911     272
   9  2699999  60598   60598        0       6625    243964568   0.004    60       16       3463    3141    3801    5525   11553     13081   908189     250
  10  2699999  60421   60421        0       6178    240637735   0.004    60       16       3436    3088    3781    5088   11477     12912  1753971     261
  11  2699999  60434   60434        0       6201    244424593   0.004    60       16       3466    3148    3806    5365   11649     13104  1633500     248
  12  2699999  60363   60363        0       6136    239566975   0.004    60       16       3451    3114    3787    5242   11657     13000   660866     254
  13  2699999  60379   60379        0       6166    239313371   0.004    60       16       3452    3110    3794    5298   11686     13047    25676     260
  14  2699999  60424   60424        0       6187    231956364   0.004    60       16       3377    2981    3742    4967   11482     12909    27417     291
  15  2699999  60424   60424        0       6190    231036698   0.004    60       16       3360    2957    3734    4923   11338     12981   601966     296
