trial,ns
0,457958118
1,457738381
2,457738318
3,457806906
4,457758254
5,457757643
6,457775172
7,457780414
8,457799035
9,457735874
10,457790067
11,457737640
12,457808364
13,458541615
14,457728950
15,457722692
16,457761054
17,457820035
18,457728076
19,457754580
20,457755607
21,457777269
22,457749179
23,457733144
24,457786941
25,457795036
26,457730444
27,457737075
28,457722699
29,457719845
30,457795869
31,457724369
32,457739911
33,457789457
34,457778989
35,457724587
36,457733220
37,457729750
38,457779195
39,457740399
40,457722366
41,457720762
42,457763192
43,457791088
44,457731239
45,457749455
46,457732143
47,457778786
48,457723377
49,457723695
50,457778860
51,457783150
52,457810651
53,457721044
54,457732605
55,457726398
56,457787689
57,457755652
58,457722743
59,457790705
