Node	Power
CN0-00	8.289e+01
CN0-01	8.287e+01
CN0-02	8.299e+01
CN0-03	8.381e+01
CN0-04	8.326e+01
CN0-05	8.144e+01
CN0-06	8.243e+01
CN0-07	7.981e+01
CN0-08	8.310e+01
CN0-09	8.301e+01
CN0-10	8.285e+01
CN0-11	8.132e+01
CN1-00	8.313e+01
CN1-01	8.194e+01
CN1-02	8.068e+01
CN1-03	8.271e+01
CN1-04	8.164e+01
CN1-05	8.266e+01
CN1-06	8.073e+01
CN1-07	8.324e+01
CN1-08	8.334e+01
CN1-09	8.072e+01
CN1-10	8.410e+01
CN1-11	8.362e+01
